Title,Year,Genres,Language,Director,Score,soup
Taxi Driver,1976,Crime Drama,English,Martin Scorsese,8.18,newyorkcity vietnamveteran taxi pornography obsession pimp taxidriver drugdealer politician firearm vigilante junkfood alienation misanthrophy violence illegalprostitution loner neo-noir childprostitution newhollywood crimedrama martinscorsese robertdeniro jodiefoster albertbrooks harveykeitel
The Usual Suspects,1995,Drama Crime Thriller,English,Bryan Singer,8.18,newyorkcity law suspect relatives flashback policecorruption theft criminal criminalmastermind hungarian cargoship mindgame neo-noir mysteryvillain dramacrimethriller bryansinger stephenbaldwin kevinspacey gabrielbyrne chazzpalminteri
8 1/2,1963,Fantasy Drama,Italian,Federico Fellini,8.17,individual scapegoat adultery screenplay cinecittàstudios moviebusiness depression suicideattempt creativecrisis kurort difficultchildhood missile dyinganddeath unsociability extramaritalaffair existence spectacle fantasydrama federicofellini marcellomastroianni claudiacardinale anoukaimée sandramilo
Bicycle Thieves,1948,Drama,Italian,Vittorio De Sica,8.17,rome italy italian ridingabicycle society poster job thief search stolenbicycle madame unemployment realism neorealism italianneorealism drama vittoriodesica lambertomaggiorani enzostaiola lianellacarell elenaaltieri
Wonder,2017,Drama Family,English,Stephen Chbosky,8.17,"exclusion bullying coneyisland prejudice school middleschool ""basedonchildrensbook"" family physicaldisability treachercollinssyndrome dramafamily stephenchbosky jacobtremblay owenwilson juliaroberts danielleroserussell"
Old Boy,2003,Drama Thriller Mystery Action,Korean,Park Chan-wook,8.17,sushirestaurant rageandhate notebook daughter hostility sin revenge loneliness urination anger catholic incest southhypnosis asianorigins dramathrillermysteryaction parkchanwook choiminsik yoojitae kanghyejung kimbyungok
The Help,2011,Drama,English,Tate Taylor,8.17,mississippiriver basedonnovelorbook exploitation racialsegregation racism writer maid moralcourage ressentiment southernbelle racialissues 1960s newspapercolumnist drama tatetaylor emmastone violadavis octaviaspencer brycedallashoward
The Apartment,1960,Comedy Drama Romance,English,Billy Wilder,8.16,"newyorkcity ""newyearseve"" lovesickness agedifference suicideattempt office flat spaghetti christmasparty winter clerk tennisracket romanticcomedy extramaritalaffair comedydramaromance billywilder jacklemmon shirleymaclaine fredmacmurray raywalston"
"Lock, Stock & Two Smoking Barrels",1998,Comedy Crime,English,Guy Ritchie,8.16,ambush alcohol shotgun tea joint machismo cocktail rifle marijuana potsmoking hatchet antique cardsharp anger cultfilm carjacking piano stripshow highstakes comedycrime guyritchie jasonflemyng dexterfletcher nickmoran jasonstatham
Dr Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,Drama Comedy War,English,Stanley Kubrick,8.15,u.s.president general coldwar strategicaircommand nuclearmissile satire darkcomedy cultfilm warroom bomberpilot nuclearweapons exnazi doomsdaydevice absurdism dramacomedywar stanleykubrick petersellers georgec.scott sterlinghayden keenanwynn
