Title,Year,Genres,Language,Director,Score,soup
Student of the Year,2012,Comedy Drama Music,Hindi,Karan Johar,5.91,lovetriangle competition jealousy college friendship scavengerhunt reunion romance triathlon comedydramamusic karanjohar sidharthmalhotra aliabhatt varundhawan rishikapoor
Jeepers Creepers 2,2003,Horror Thriller,English,Victor Salva,5.91,parentchildrelationship monster scarecrow peasant farm immortality mythicalcreature father highschoolsports revenge teenager highschoolstudent schoolbus horrorthriller victorsalva raywise jonathanbreck nickiaycox garikayimutambirwa
Dark Places,2015,Thriller Mystery Drama Adventure,English,Gilles Paquet-Brenner,5.91,prison siblingrelationship basedonnovelorbook satanism witness stripclub pregnancy survivor stripper murder flashback slaughter hiredkiller murderoffamily thrillermysterydramaadventure gillespaquetbrenner charlizetheron nicholashoult chloëgracemoretz christinahendricks
Halloween H20: 20 Years Later,1998,Horror Thriller,English,Steve Miner,5.91,california newidentity halloween witnessprotection brother sister boardingschool schoolparty uncle maskedkiller underagedrinking principal violence death evil horrorthriller steveminer jamieleecurtis joshhartnett adamarkin michellewilliams
Broken Arrow,1996,Action,English,John Woo,5.91,settler peace mail western delmerdaves jamesstewart jeffchandler debrapaget basilruysdael
Cinderella II: Dreams Come True,2002,Family Animation Romance Fantasy,English,John Kafka,5.91,magic fairy musical princess sequel anthology anthropomorphism family cartoonmouse fairygodmother baker cinderella familyanimationromancefantasy johnkafka jenniferhale robpaulsen coreyburton andrestojka
Anon,2018,Science Fiction Thriller,English,Andrew Niccol,5.91,"detective dystopia serialkiller privacy procedural augmentedreality sciencefictionthriller andrewniccol amandaseyfried cliveowen iddogoldberg ""markobrien"""
Broken City,2013,Thriller Crime Drama,English,Allen Hughes,5.91,mayor investigation politics ex-cop revenge doublecrossed privatedetective thrillercrimedrama allenhughes markwahlberg russellcrowe catherinezetajones jeffreywright
Deathwatch,2002,Drama Horror Thriller War,English,M.J. Bassett,5.91,worldwari war assault supernatural soldier trenches dramahorrorthrillerwar m.j.bassett jamiebell rúaidhríconroy mikedowney laurencefox
Maniac Cop 2,1990,Horror Thriller Action,English,William Lustig,5.91,"Not Available horrorthrilleraction williamlustig ""robertzdar"" claudiachristian michaellerner brucecampbell"
Cobra,1986,Action Crime Thriller,English,George P. Cosmatos,5.91,showdown resistance mannequin prosecution cop murder gang witnesstomurder actioncrimethriller georgep.cosmatos sylvesterstallone brigittenielsen renisantoni brianthompson
Walk of Shame,2014,Comedy,English,Steven Brill,5.91,journalist one-nightstand blonde newswoman comedy stevenbrill elizabethbanks jamesmarsden gillianjacobs ethansuplee
2:22,2017,Drama Thriller Romance Science Fiction Mystery,English,Paul Currie,5.91,newyorkcity artist murder premonition grandcentralstation airtrafficcontroller dramathrillerromancesciencefictionmystery paulcurrie michielhuisman teresapalmer samreid johnwaters
Scare Campaign,2016,Horror,English,Cameron Cairnes,5.91,anonymoushacktivistgroup horror cameroncairnes meeganwarner ianmeadows oliviadejonge joshquongtart
Four Against the Bank,2016,Comedy Crime,German,Wolfgang Petersen,5.91,Not Available comedycrime wolfgangpetersen janjosefliefers tilschweiger matthiasschweighöfer michaelherbig
Sisters,2015,Comedy,English,Jason Moore,5.91,detective hallucination witness police insanity murder mystery neighbor psychic model twins apartment evil report horrormysterythriller briandepalma margotkidder jennifersalt charlesdurning williamfinley
Miami Vice,2006,Action Crime Thriller,English,Michael Mann,5.91,miami florida florida drugdealing havana cuba speedboat\xa0 actioncrimethriller michaelmann colinfarrell jamiefoxx gongli naomieharris
RoboCop 2,1990,Action Adventure Crime Science Fiction Thriller,English,Irvin Kershner,5.91,cyborg police sequel cyberpunk robot drugs policeofficer robocop actionadventurecrimesciencefictionthriller irvinkershner peterweller nancyallen tomnoonan belindabauer
Beverly Hills Cop III,1994,Action Comedy Crime,English,John Landis,5.91,detective undercover carousel investigation weapon sequel rescue counterfeit shootout dirtycop gunfight losangeles california explosion violence footchase framed carchase secretservice amusementpark rollercoaster beverlyhills buddycomedy actioncomedycrime johnlandis eddiemurphy judgereinhold héctorelizondo gilbertr.hill
Brick Mansions,2014,Action Crime Drama,English,Camille Delamarre,5.91,martialarts atomicbomb ghetto gangster parkour cop sequel undercovercop violence fighting handtohandcombat actioncrimedrama camilledelamarre paulwalker davidbelle rza robertmaillet
The Signal,2014,Thriller Science Fiction,English,William Eubank,5.91,Not Available horrorsciencefictionthriller davidbruckner anessaramsey justinwelborn ajbowen scottpoythress
Star Wars: The Clone Wars,2008,Animation Action Science Fiction Adventure,English,Dave Filoni,5.91,android jedi sith 3d clonearmy separatists animationactionsciencefictionadventure davefiloni mattlanter ashleyeckstein jamesarnoldtaylor deebradleybaker
Extinction,2018,Science Fiction Thriller Drama Action,English,Ben Young,5.91,space alien mechanic alieninvasion spaceship sciencefictionthrillerdramaaction benyoung michaelpeña lizzycaplan israelbroussard mikecolter
Eraser,1996,Action Drama Mystery Thriller,English,Chuck Russell,5.91,suicide ambush showdown hostage traitor newidentity hitman witness witnessprotection armsdealer deception betrayal treason conspiracy u.s.marshal gunfight train explosion violence sabotage corporatecrime rogueagent assassinationattempt x-rayvision railgun actiondramamysterythriller chuckrussell arnoldschwarzenegger jamescaan vanessawilliams jamescoburn
Chloe,2009,Drama Thriller Mystery,English,Atom Egoyan,5.91,toronto canada remake playingpiano suspiciouswife dramathrillermystery atomegoyan amandaseyfried juliannemoore liamneeson maxthieriot
Jaws 2,1978,Horror Thriller,English,Jeannot Szwarc,5.91,mayor island sharkattack policechief sailing boataccident dyinganddeath panic current animalattack sequel rescue scubadiving teenager shark greatwhiteshark killerwhale high-tensioncurrent waterskiing tourism horrorthriller jeannotszwarc royscheider lorrainegary murrayhamilton josephmascolo
The New Kid,2015,Comedy,French,Rudi Rosenberg,5.91,Not Available comedy rudirosenberg réphaelghrenassia joshuaraccah géraldinemartineau guillaumecloudroussel
Schlussmacher,2013,Comedy,German,Matthias Schweighöfer,5.91,love money break-up comedy matthiasschweighöfer matthiasschweighöfer milanpeschel nadjauhl annabederke
But Forever in My Mind,1999,Comedy Drama,Italian,Gabriele Muccino,5.91,Not Available comedydrama gabrielemuccino silviomuccino giuseppesanfelice giuliacarmignani giuliasteigerwalt
Get Him to the Greek,2010,Comedy,English,Nicholas Stoller,5.91,london england musician concert losangeles california aftercreditsstinger comedy nicholasstoller jonahhill russellbrand rosebyrne elisabethmoss
Winchester,2018,Fantasy Mystery Thriller Horror,English,Michael Spierig,5.91,"drugaddiction hauntedhouse earthquake basedonatruestory rifle architecture doctor ghost fictionalbiography fantasymysterythrillerhorror michaelspierig helenmirren jasonclarke sarahsnook ""finnsciclunaoprey"""
Frozen,2010,Thriller,English,Adam Green,5.91,queen musical princess betrayal snowman reindeer curse snow troll mountainclimber aftercreditsstinger womandirector 3d animationadventurefamily chrisbuck kristenbell idinamenzel jonathangroff joshgad
Lockout,2012,Action Thriller Science Fiction,English,Stephen St. Leger,5.91,u.s.president antihero dementia future space convict interrogation spacestation collisioninspace 21stcentury actionthrillersciencefiction stephenst.leger guypearce maggiegrace josephgilgun lenniejames
The 6th Day,2000,Mystery Science Fiction Action,English,Roger Spottiswoode,5.91,clone lasergun future dystopia murder cloning implantedmemory sci-fithriller mysterysciencefictionaction rogerspottiswoode arnoldschwarzenegger michaelrapaport tonygoldwyn michaelrooker
Firefighters 2: Heroic Mission,1987,Comedy,Italian,Giorgio Capitani,5.91,Not Available comedy giorgiocapitani paolovillaggio linobanfi massimoboldi christiandesica
I Saw the Light,2015,Drama Music,English,Marc Abraham,5.91,usa countrymusic biography music 1940s dramamusic marcabraham tomhiddleston elizabetholsen davidkrumholtz bradleywhitford
Eyes of Laura Mars,1978,Drama Horror Mystery Thriller,English,Irvin Kershner,5.91,photographer fashionphotographer dramahorrormysterythriller irvinkershner fayedunaway tommyleejones braddourif renéauberjonois
My Awkward Sexual Adventure,2012,Comedy Romance,English,Sean Garrity,5.91,underwear masseuse threesome dildo sexlesson comedyromance seangarrity jonaschernick emilyhampshire sarahmanninen viksahay
The Lair of the White Worm,1988,Comedy Horror,English,Ken Russell,5.91,rape nun temple virgin vampire snakecharmer dangerous worm derbyshire humansacrifice paganism archaeologist monastery comedyhorror kenrussell amandadonohoe hughgrant catherineoxenberg petercapaldi
Maid in Manhattan,2002,Comedy Drama Romance,English,Wayne Wang,5.91,hotel politician latinxlead mistakenidentity maid classdifferences singlemother manhattan newyorkcity publicrelations luxuryhotel maiduniform hotelclerk wealthdifferences comedydramaromance waynewang jenniferlopez ralphfiennes natasharichardson stanleytucci
Oldboy,2013,Drama Thriller Mystery Action,English,Spike Lee,5.91,imprisonment remake dramathrillermysteryaction spikelee joshbrolin elizabetholsen samuell.jackson sharltocopley
National Lampoons Van Wilder,2002,Comedy Romance,English,Walt Becker,5.91,college lockerroom doggystyle flirting exposé pug bonbon fraternitypledge greekletter laxative comedyromance waltbecker ryanreynolds tarareid timmatheson kalpenn
Into the Storm,2014,Action Thriller,English,Steven Quale,5.91,tornado oklahoma highschoolgraduation student stormchaser foundfootage disastermovie actionthriller stevenquale richardarmitage sarahwaynecallies mattwalsh nathankress
Evolution,2001,Comedy Science Fiction,English,Ivan Reitman,5.91,nurse sea beach pregnancy blood womandirector mysterydramahorror lucilehadžihalilović maxbrebant roxaneduran juliemarieparmentier mathieugoldfeld
Evening,2007,Drama Romance,English,Lajos Koltai,5.91,mother parentchildrelationship newlove bride dyinganddeath friendship bestfriend wedding summer dramaromance lajoskoltai clairedanes tonicollette vanessaredgrave patrickwilson
The Cable Guy,1996,Comedy Drama Thriller,English,Ben Stiller,5.91,prison prostitute karaoke obsession darkcomedy medieval cableguy frenemies comedydramathriller benstiller jimcarrey matthewbroderick lesliemann jackblack
Paranormal Activity 3,2011,Horror,English,Henry Joost,5.91,siblingrelationship witch sequel prequel haunting foundfootage horror henryjoost katiefeatherston spraguegrayden laurenbittner christophernicholassmith
Beauty and the Beast,2014,Fantasy Romance,French,Christophe Gans,5.91,"prince book castle rose musical princess beast belle romancefamilyanimationfantasy garytrousdale ""paigeohara"" robbybenson richardwhite jerryorbach"
Dorian Gray,2009,Fantasy Drama Thriller,English,Oliver Parker,5.91,Not Available fantasydramathriller oliverparker benbarnes colinfirth rebeccahall emiliafox
Triple 9,2016,Action Thriller Mystery,English,John Hillcoat,5.91,bomb detective assaultrifle cocaine ghetto stripclub russianmafia murder heist betrayal bagofmoney dirtycop violence bankrobbery deathofbrother atlanta georgia actionthrillermystery johnhillcoat chiwetelejiofor caseyaffleck anthonymackie woodyharrelson
The SpongeBob Movie: Sponge Out of Water,2015,Adventure Comedy Family Fantasy Animation,English,Paul Tibbitt,5.91,ocean sea water spongebob liveactionandanimation adventurecomedyfamilyfantasyanimation paultibbitt tomkenny billfagerbakke rodgerbumpass clancybrown
Switch,1991,Fantasy Comedy,English,Blake Edwards,5.91,macho dyinganddeath reincarnation rolereversal resurrection body-swap manturnedintowoman genderswap fantasycomedy blakeedwards ellenbarkin jimmysmits jobethwilliams lorrainebracco
SpaceCamp,1986,Family Adventure,English,Harry Winer,5.91,nasa space astronaut spaceshuttle trappedinspace spacecamp familyadventure harrywiner katecapshaw leathompson kellypreston larryb.scott
Wild Hogs,2007,Action Adventure Comedy,English,Walt Becker,5.91,midlifecrisis roadtrip politicallyincorrect motorcyclegang bikermovie awkwardness travelwriter middleage middleagedman actionadventurecomedy waltbecker timallen johntravolta martinlawrence williamh.macy
New Years Eve,2011,Comedy Romance,English,Garry Marshall,5.91,"""newyearseve"" illustrator caterer pedicab ticket videoconferencing multiplestorylines duringcreditsstinger comedyromance garrymarshall robertdeniro katherineheigl ashtonkutcher carlagugino"
The Brothers Grimsby,2016,Action Comedy,English,Louis Leterrier,5.91,siblingrelationship spy gun vulgar hooligan vulgarity football(soccer) actioncomedy louisleterrier sachabaroncohen markstrong islafisher rebelwilson
Ghosts of Girlfriends Past,2009,Fantasy Comedy Romance,English,Mark Waters,5.91,womanizer love wedding aftercreditsstinger duringcreditsstinger pastrelationship fantasycomedyromance markwaters matthewmcconaughey jennifergarner michaeldouglas breckinmeyer
Killers,2010,Action Comedy Thriller Romance,English,Robert Luketic,5.91,"assassin actioncomedythrillerromance robertluketic katherineheigl ashtonkutcher tomselleck ""catherineohara"""
All the Pretty Horses,2000,Drama Romance Western,English,Billy Bob Thornton,5.91,dancing chess falselyaccused texas prisoner coffin ranch airplane beating jail rifle corpse lasso cautery 1940s dramaromancewestern billybobthornton mattdamon henrythomas penélopecruz samshepard
Four Rooms,1995,Crime Comedy,English,Allison Anders,5.91,"hotel ""newyearseve"" witch bet hotelroom sperm anthology losangeles california hoodlum womandirector crimecomedy allisonanders timroth jenniferbeals antoniobanderas valeriagolino"
I Know What You Did Last Summer,1997,Horror Thriller Mystery,English,Jim Gillespie,5.91,secret blackmail fisherman police highschool cover-up friends revenge murder pageant slasher teenager killer horrorthrillermystery jimgillespie jenniferlovehewitt sarahmichellegellar ryanphillippe freddieprinzejr.
Snitch,2013,Thriller Drama Action,English,Ric Roman Waugh,5.91,prison parentchildrelationship undercover arrest basedonatruestory drugs agent dea thrillerdramaaction ricromanwaugh dwaynejohnson barrypepper jonbernthal susansarandon
Scooby-Doo 2: Monsters Unleashed,2004,Mystery Fantasy Adventure Comedy,English,Raja Gosnell,5.91,detective monster engine dog mysteryfantasyadventurecomedy rajagosnell freddieprinzejr. sarahmichellegellar matthewlillard lindacardellini
1922,2017,Crime Drama Horror,English,Zak Hilditch,5.91,basedonnovelorbook parentchildrelationship secret ranch hallucination hauntedhouse greed murder haunting blood corpse guilt vengefulghost farmer cornfield stealingmoney hiddencorpse rat guiltyconscience crimedramahorror zakhilditch thomasjane mollyparker dylanschmid kaitlynbernard
TerrorVision,1986,Horror Science Fiction Thriller,English,Ted Nicolaou,5.91,mutant slime satellite alien horrorsciencefictionthriller tednicolaou dianefranklin gerritgraham maryworonov chadallen
Lizzie Borden Took an Ax,2014,Drama Mystery Thriller,English,Nick Gomez,5.91,biography psychologicalthriller lizzieborden dramamysterythriller nickgomez christinaricci cleaduvall gregghenry stephenmchattie
Vice Versa,1988,Comedy Fantasy,English,Brian Gilbert,5.91,basedonnovelorbook rolereversal school teenmovie body-swap childasanadult identityswap adultasachild comedyfantasy briangilbert judgereinhold fredsavage corinnebohrer swoosiekurtz
Scream 3,2000,Horror Mystery,English,Wes Craven,5.91,moviebusiness isolation mask ex-cop serialkiller maskedkiller reporter slasher hollywood scream self-referential lured horrormystery wescraven nevecampbell courteneycox davidarquette patrickdempsey
Along Came Polly,2004,Comedy Romance,English,John Hamburg,5.91,beach honeymoon bride chance risk relation longisland romanticcomedy scubadiving unfaithfulness losangeles california artgallery danceclass oppositesattract caribbeansea commitment danceclub neurotic bagpipes chanceencounter insuranceriskmanager comedyromance johnhamburg benstiller jenniferaniston philipseymourhoffman debramessing
Next,2007,Action Science Fiction Thriller,English,Lee Tamahori,5.91,fortuneteller duringcreditsstinger actionsciencefictionthriller leetamahori nicolascage juliannemoore jessicabiel thomaskretschmann
The Grudge,2004,Horror Mystery Thriller,English,Takashi Shimizu,5.91,nurse house remake curse tokyo japan oldwoman catatonia horrormysterythriller takashishimizu sarahmichellegellar jasonbehr williammapother cleaduvall
Robin Hood,2018,Adventure Action Thriller,English,Otto Bathurst,5.91,hero fox robinhood forest rightandjustice outlaw thief bear teacher animalashuman sherwoodforest animationfamily wolfgangreitherman brianbedford philharris peterustinov patbuttram
The Last Stand,2013,Action Crime Thriller,English,Kim Jee-woon,5.91,sheriff smalltown hostage prisoner fbi border escape carchase convoy machinegun neo-western actioncrimethriller kimjeewoon arnoldschwarzenegger forestwhitaker rodrigosantoro johnnyknoxville
Mr Poppers Penguins,2011,Comedy Family,English,Mark Waters,5.91,taxi restaurant zoo penguin exhusband littleboy zookeeper doorman ride birdhatching aftercreditsstinger duringcreditsstinger comedyfamily markwaters jimcarrey carlagugino madelinecarroll angelalansbury
Kuffs,1992,Action Comedy Crime,English,Bruce A. Evans,5.91,dance policeprotection organizedcrime breakingthefourthwall gunfight talkingtotheaudience funnyhero actioncomedycrime brucea.evans christianslater millajovovich tonygoldwyn bruceboxleitner
Gods Pocket,2014,Drama,English,John Slattery,5.91,Not Available drama johnslattery philipseymourhoffman richardjenkins christinahendricks johnturturro
The Babysitter,2017,Horror Comedy,English,McG,5.91,babysitter corpse horrorcomedy mcg judahlewis samaraweaving robbieamell hanamaelee
Daydream Nation,2010,Drama Romance,English,Michael Goldbach,5.91,highschool serialkiller stoner dramaromance michaelgoldbach katdennings reecethompson joshlucas andiemacdowell
Barbie in Princess Power,2015,Animation,English,Ezekiel Norton,5.91,princess superpower animation ezekielnorton kellysheridan brittneyirvin michaelkopsa rebeccahusain
Harriet the Spy,1996,Comedy Drama Family,English,Bronwen Hughes,5.91,"spy secret nanny notebook binoculars womandirector comedydramafamily bronwenhughes michelletrachtenberg ""rosieodonnell"" j.smithcameron earthakitt"
High Spirits,1988,Fantasy Comedy,English,Neil Jordan,5.91,"romanticcomedy spirit fantasycomedy neiljordan ""peterotoole"" darylhannah steveguttenberg ""beverlydangelo"""
Beautiful Creatures,2013,Fantasy Drama Romance,English,Richard LaGravenese,5.91,civilwar southernusa basedonnovelorbook magic light love classprejudice casters basedonyoungadultnovel fantasydramaromance richardlagravenese aldenehrenreich aliceenglert jeremyirons violadavis
Alexander,2004,War History Action Adventure Drama Romance,English,Oliver Stone,5.91,aristotle egypt greece persia elephant campaign alexanderthegreat malehomosexuality ancientworld ancientgreece 4thcenturybc gay warhistoryactionadventuredramaromance oliverstone colinfarrell angelinajolie valkilmer jaredleto
Valentines Day,2010,Comedy Romance,English,Garry Marshall,5.91,"flower marriedcouple florist kiss single romanticcomedy losangeles california ""valentinesday"" multiplestorylines aftercreditsstinger duringcreditsstinger comedyromance garrymarshall jessicaalba jessicabiel bradleycooper ericdane"
Hostel,2005,Horror,English,Eli Roth,5.91,bathroom amsterdam netherlands europe brothel slovakia backpacker horror gore blood torture businesscard doberman hostel surgery eliteclub horror eliroth jayhernandez derekrichardson eythorgudjonsson barbaranedeljáková
Red Riding Hood,2011,Fantasy Thriller Horror,English,Catherine Hardwicke,5.91,winter fairytale hood werewolf aftercreditsstinger duringcreditsstinger womandirector redridinghood fantasythrillerhorror catherinehardwicke amandaseyfried garyoldman billyburke shilohfernandez
Die Another Day,2002,Adventure Action Thriller,English,Lee Tamahori,5.91,spy laser espionage britishsecretservice havana cuba u.s.secretserviceagent spacebasedweapon adventureactionthriller leetamahori piercebrosnan halleberry rosamundpike rickyune
Teenage Mutant Ninja Turtles: Out of the Shadows,2016,Action Adventure Comedy Family Science Fiction,English,Dave Green,5.91,siblingrelationship turtle sequel basedoncomic ninja rat actionadventurecomedyfamilysciencefiction davegreen meganfox stephenamell willarnett lauralinney
The Toy,1982,Comedy Family,English,Richard Donner,5.91,millionaire cadeau comedy francisveber pierrerichard fabricegreco michelbouquet jacquesfrançois
Cherry 2000,1987,Action Adventure Comedy Science Fiction,English,Steve De Jarnatt,5.91,android wilderness post-apocalypticfuture dystopia tracker robot actionadventurecomedysciencefiction stevedejarnatt melaniegriffith davidandrews pamelagidley benjohnson
Motel Hell,1980,Comedy Horror,English,Kevin Connor,5.91,gore bmovie slasher sunshinecoast comedyhorror kevinconnor rorycalhoun paullinke nancyparsons ninaaxelrod
The First Purge,2018,Action Science Fiction Thriller Horror,English,Gerard McMurray,5.9,"newyorkcity sequel prequel murder violence purge abuseofpower actionsciencefictionthrillerhorror gerardmcmurray ""ylannoel"" lexscottdavis joivanwade mugga"
Mirror Mirror,2012,Adventure Comedy Drama Family Fantasy,English,Tarsem Singh,5.9,attemptedmurder fairytale blackmagic villainess goodvsevil insecurity snowkingdom snowwhite evilqueen enchantress financialproblem evilplot duringcreditsstinger adventurecomedydramafamilyfantasy tarsemsingh lilycollins juliaroberts armiehammer nathanlane
Scary Movie 3,2003,Comedy,English,David Zucker,5.9,horrorspoof comedy davidzucker annafaris pamelaanderson jennymccarthy marnyeng
The Last Witch Hunter,2015,Fantasy Action Adventure Science Fiction,English,Breck Eisner,5.9,newyorkcity witch uprising witchhunter fantasyactionadventuresciencefiction breckeisner vindiesel roseleslie elijahwood ólafurdarriólafsson
A Million Ways to Die in the West,2014,Comedy Western,English,Seth MacFarlane,5.9,gunslinger farmer wildwest aftercreditsstinger duringcreditsstinger laxative comedywestern sethmacfarlane sethmacfarlane charlizetheron liamneeson amandaseyfried
The League of Extraordinary Gentlemen,2003,Fantasy Action Thriller Science Fiction,English,Stephen Norrington,5.9,savingtheworld venice italy vampire bite men superhero basedoncomic invisibleperson captainnemo allanquatermain immortal fantasyactionthrillersciencefiction stephennorrington seanconnery naseeruddinshah petawilson tonycurran
Spiral,2000,Mystery Fantasy Horror,Japanese,Higuchinsky,5.9,helix dyinganddeath businessman village laundromat basedonmanga death mysteryfantasyhorror higuchinsky erikohatsune fhifan hinakosaeki shineunkyung
Santa Buddies,2009,Family Adventure,English,Robert Vince,5.9,holiday christmas familyadventure robertvince georgewendt craiganton charissebaker andrewastor
You Dont Choose Your Family,2011,Comedy Adventure,French,Christian Clavier,5.9,Not Available comedyadventure christianclavier christianclavier jeanreno murielrobin helenanoguerra
The Boy,2016,Horror Thriller Mystery,English,William Brent Bell,5.9,suicide england fire lossoflovedone countryhouse shower nanny mask murder mansion violence doll burnvictim secretpassageway brokenmirror horrorthrillermystery williambrentbell laurencohan rupertevans jamesrussell jimnorton
"Hail, Caesar!",2016,Comedy Drama Mystery,English,Joel Coen,5.9,journalist cat ransom kidnapping ancientrome filminfilm disappearance hollywood perioddrama moviestar 1950s oldhollywood comedydramamystery joelcoen joshbrolin georgeclooney aldenehrenreich ralphfiennes
xXx,2002,Action Adventure Thriller,English,Rob Cohen,5.9,sportscar biologicalweapon coldwar prague czechrepublic mission nsaagent adrenalinejunkie thrillseeker actionadventurethriller robcohen vindiesel asiaargento samuell.jackson dannytrejo
Geostorm,2017,Action Science Fiction Thriller,English,Dean Devlin,5.9,artificialintelligence future weathermanipulation murder space endoftheworld conspiracy apocalypse storm spacestation spaceshuttle catastrophe globalthreat environmentaldisaster overpopulatedworld actionsciencefictionthriller deandevlin gerardbutler alexandramarialara jimsturgess abbiecornish
The Liability,2012,Thriller Comedy Crime,English,Craig Viveiros,5.9,"roadtrip thriller thrillercomedycrime craigviveiros timroth talulahriley ""jackoconnell"" kierstonwareing"
Krabat,2008,Action Fantasy Horror,German,Marco Kreuzpaintner,5.9,apprentice mill middleages raven actionfantasyhorror marcokreuzpaintner davidkross danielbrühl robertstadlober hannokoffler
Go Fast,2008,Drama Action Crime,French,Olivier Van Hoofstadt,5.9,police revenge marijuana dramaactioncrime oliviervanhoofstadt roschdyzem oliviergourmet davidsaracino jeanmichelfête
Bee Movie,2007,Family Animation Adventure Comedy,English,Steve Hickner,5.9,factoryworker tennis flower florist flowershop pilot college airplane beehive court bee aftercreditsstinger familyanimationadventurecomedy stevehickner jerryseinfeld renéezellweger jimcummings matthewbroderick
Don Jon,2013,Romance Comedy Drama,English,Joseph Gordon-Levitt,5.9,pornography newjersey sexaddiction sexualfantasy internetporn malemasturbation masturbation exercise truelove romanticfantasy romancecomedydrama josephgordonlevitt josephgordonlevitt scarlettjohansson juliannemoore tonydanza
Carrie,2013,Drama Horror,English,Kimberly Peirce,5.9,basedonnovelorbook cemetery isolation stage bible telekinesis revenge unrequitedlove prom teacher school religion cruelty rage humiliation crucifix praying outsider taunting abusivemother firestorm horrorthriller briandepalma sissyspacek piperlaurie amyirving williamkatt
Paranormal Activity,2009,Horror Mystery,English,Oren Peli,5.9,haunting psychic entity demonicpossession foundfootage horrormystery orenpeli katiefeatherston micahsloat markfredrichs amberarmstrong
The Great Wall,2016,Action Adventure Fantasy,English,Zhang Yimou,5.9,china monster archer femalesoldier explosion perioddrama britishsoldier greatwallofchina 3d 15thcentury femalegeneral actionadventurefantasy zhangyimou mattdamon jingtian willemdafoe andylau
Ugly Nasty People,2017,Comedy,French,Cosimo Gomez,5.9,"Not Available comedy cosimogomez claudiosantamaria ""marcodamore"" saraserraiocco simonemartucci"
Total Recall,2012,Action Science Fiction Adventure Thriller,English,Len Wiseman,5.9,oxygen falselyaccused resistance planetmars doublelife telepathy mutant hologram spacecolony falseidentity secretagent dystopia cyberpunk falsememory robotcop implantedmemory actionadventuresciencefiction paulverhoeven arnoldschwarzenegger rachelticotin sharonstone ronnycox
Dont Look Back,2009,Drama Horror Mystery Thriller,French,Marina de Van,5.9,"england ""rocknroll"" guitar rockstar popstar musician bobdylan tour privatelife concert cinémavérité folk donovan documentarymusic d.a.pennebaker bobdylan albertgrossman bobneuwirth joanbaez"
The 5th Wave,2016,Adventure Science Fiction Action,English,J Blakeson,5.9,basedonnovelorbook dystopia alien alieninvasion humansubjugation environmentaldisaster basedonyoungadultnovel adventuresciencefictionaction jblakeson chloëgracemoretz nickrobinson alexroe maikamonroe
Lara Croft: Tomb Raider,2001,Adventure Fantasy Action Thriller,English,Simon West,5.9,treasure buddhistmonk planetaryconfiguration angkorwat illuminati williamblake treasurehunt femaleprotagonist archaeologist basedonvideogame archeology\xa0 adventurefantasyactionthriller simonwest angelinajolie jonvoight iainglen noahtaylor
Teenage Mutant Ninja Turtles,2014,Science Fiction Action Adventure Fantasy Comedy,English,Jonathan Liebesman,5.9,skateboarding martialarts mutant pizzadelivery brother ninja sewer sciencefictionactionadventurecomedyfamily stevebarron judithhoag eliaskoteas joshpais coreyfeldman
Cars 2,2011,Animation Family Adventure Comedy,English,John Lasseter,5.9,carrace sequel anthropomorphism bestfriend duringcreditsstinger animationfamilyadventurecomedy johnlasseter owenwilson larrythecableguy michaelcaine emilymortimer
Big is Beautiful,2012,Comedy,French,Charlotte de Turckheim,5.9,womandirector comedy charlottedeturckheim victoriaabril loladewaere catherinehosmalin grégoryfitoussi
Hansel & Gretel: Witch Hunters,2013,Fantasy Horror Action,English,Tommy Wirkola,5.9,witch gun blackmagic steampunk goodvsevil troll violence witchcraft evil witchhunt witchhunter evilwitch duringcreditsstinger hanselandgretel 3d fantasyhorroraction tommywirkola jeremyrenner gemmaarterton famkejanssen pihlaviitala
Dark Shadows,2012,Comedy Fantasy,English,Tim Burton,5.9,witch imprisonment vampire curse fishoutofwater chains gothic madness oldhouse lostlove angrymob 18thcentury ghost hiddenroom oldmansion comedyfantasy timburton johnnydepp michellepfeiffer helenabonhamcarter jackieearlehaley
Oz the Great and Powerful,2013,Fantasy Adventure Family,English,Sam Raimi,5.9,circus witch magic hope illusion magictrick wizard 3d basedonyoungadultnovel fantasyadventurefamily samraimi jamesfranco milakunis rachelweisz michellewilliams
Indiana Jones and the Kingdom of the Crystal Skull,2008,Adventure Action,English,Steven Spielberg,5.9,savingtheworld riddle whip treasure mexicocity leatherjacket machinegun alienphenomenons mayacivilization peru treasurehunt nuclearexplosion refrigerator archaeologist indianajones archeology\xa0 adventureaction stevenspielberg harrisonford cateblanchett shialabeouf raywinstone
Alien: Covenant,2017,Horror Science Fiction,English,Ridley Scott,5.9,android spacecraft experiment spacetravel alienlife-form infection engineer sequel space alien gore robot scientist genocide creation acid xenomorph alientechnology geneticmutation horrorsciencefiction ridleyscott michaelfassbender katherinewaterston billycrudup dannymcbride
Snow White and the Huntsman,2012,Adventure Fantasy Drama,English,Rupert Sanders,5.9,queen magic imprisonment fairytale immortality forest eternalyouth deception snowwhite evilqueen evilstepmother basedonfairytale sorceress adventurefantasydrama rupertsanders kristenstewart chrishemsworth charlizetheron samclaflin
Terminator Genisys,2015,Science Fiction Action Thriller Adventure,English,Alan Taylor,5.9,savingtheworld artificialintelligence cyborg killerrobot future timetravel dystopia sequel robot duringcreditsstinger 3d findumonde sciencefictionactionthrilleradventure alantaylor arnoldschwarzenegger jasonclarke emiliaclarke jaicourtney
